tissue	method	n_pairs	n_pos	aupr	auroc	perm_p
kidney	scgpt_causal_ablation_paper	165.0	80.0	0.6018		
lung	scgpt_causal_ablation_paper			0.7272		0.001
immune	scgpt_causal_ablation_paper			0.5955		0.359
kidney	pearson_coexpr	214.0	106.0	0.5257165017116971	0.5096086652690426	0.2947052947052947
kidney	mutual_information	214.0	106.0	0.4859834731046749	0.457416142557652	0.7122877122877123
kidney	grnboost2	214.0	106.0	0.4940929336677843	0.4869846261355695	0.6373626373626373
kidney	genie3	214.0	106.0	0.4787050817332683	0.4691649196366177	0.7872127872127872
lung	pearson_coexpr	216.0	107.0	0.5339182441638296	0.5261082054359941	0.2187812187812187
lung	mutual_information	216.0	107.0	0.4924952129195455	0.5207922489925405	0.6893106893106893
lung	grnboost2	216.0	107.0	0.5451108456474281	0.5573180142330446	0.1308691308691308
lung	genie3	216.0	107.0	0.5335903246628251	0.5284232187258853	0.2247752247752247
immune	pearson_coexpr	223.0	112.0	0.5736850724452629	0.5402992277992279	0.0509490509490509
immune	mutual_information	223.0	112.0	0.531561292562018	0.5251769626769627	0.2647352647352647
immune	grnboost2	223.0	112.0	0.5211629448508341	0.4750643500643501	0.3876123876123876
immune	genie3	223.0	112.0	0.555586636917581	0.5218790218790219	0.1198801198801198
